DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2021-04-04 12:00:00,SILE,ICING_SENSOR,7.249,7.724,7.43467,100,100,100,0,3.17,1.62644,5,5,5,0,0,0,-1.9,-1.9,-1.9,5.95,8.96,7.31311
2021-04-04 09:00:00,USKUMRUKOY,ICING_SENSOR,8.66,8.84,8.73083,97,98.1,97.48667,1.457,3.647,2.60125,283,325,303.26667,0,0,0,11.5,11.9,11.65,7.41,8.99,8.03117
2021-04-03 00:00:00,SILE,ICING_SENSOR,10.77,11.18,10.98712,61.85,65.44,63.69346,2.61,7.49,4.58385,5,5,5,0,0,0,-1.9,-1.9,-1.9,9.1,10.53,9.71019
2021-04-04 08:00:00,USKUMRUKOY,ICING_SENSOR,8.74,9.4,9.10949,94.6,97.3,95.91864,0.94,3.888,2.52892,268,322,296.66102,0,0,0,11.7,12.4,11.96441,7.49,10.56,8.53339
2021-04-03 00:00:00,UMRANIYE,ICING_SENSOR,12.08,12.49,12.26776,100,100,100,1.25,4.77,2.81414,139,248,188.53448,0,0,0,10.1,10.5,10.2569,11.11,13.18,11.94293
2021-04-03 10:00:00,UMRANIYE,ICING_SENSOR,18.22,19.25,18.61203,100,100,100,2.69,8.85,4.95305,177,256,215.33898,1,60,30.5,31.1,33.3,32.27797,18.09,19.97,18.91525
2021-04-01 16:00:00,CAMLICA_TUNEL_K,ICING_SENSOR,6.595,7.224,6.80017,77.49,80.3,78.851,0.228,1.781,0.41675,9,259,75.68333,0,0,0,9.6,10.8,10.13833,6.55,9.51,8.697
2021-04-01 14:00:00,SILE,ICING_SENSOR,5.691,6.03,5.83748,92.8,95.4,94.23276,0,2.77,1.74017,5,5,5,0,0,0,-1.9,-1.9,-1.9,4.18,6.76,5.41034
2021-04-03 06:00:00,UMRANIYE,ICING_SENSOR,13.72,15.22,14.44776,100,100,100,1.33,6.13,2.4969,59,290,197.77586,0,0,0,12.3,16.5,14.03966,13.62,15.94,14.76155
2021-04-03 05:00:00,UMRANIYE,ICING_SENSOR,12.62,13.78,13.20623,100,100,100,1.49,4.29,2.61131,120,245,202.78689,0,0,0,10.1,12.4,11.08525,12.59,13.95,13.12443
2021-04-03 18:00:00,ARNAVUTKOY_MGM,AUTOMATED_WEATHER_SENSOR,13.2,13.7,13.38667,69,72,70.58333,2.3,3.3,2.795,172,217,197.58333,0,0,0,-99,-99,-99,12.87,13.65,13.2385
2021-04-01 21:00:00,SILE,ICING_SENSOR,4.271,4.407,4.32116,99.9,100,99.9918,0,1.57,0.48311,5,5,5,0,0,0,-1.9,-1.9,-1.9,3.91,5.72,4.86475
2021-04-03 17:00:00,ARNAVUTKOY_MGM,AUTOMATED_WEATHER_SENSOR,13.6,14.9,14.33833,63,70,65.75,2,3.6,2.91667,168,209,196.36667,0,0,0,-99,-99,-99,13.26,15.29,14.30733
2021-04-04 23:00:00,UMRANIYE,ICING_SENSOR,8.87,9.21,9.0085,100,100,100,1.81,6.21,3.69,2,354,118.21667,0,0.08,0.0055,9.4,9.6,9.51,6.89,8.74,7.66217
2021-04-03 05:00:00,ODAYERI,ICING_SENSOR,12.77,13.57,13.15525,60.76,62.85,61.77197,0.654,3.74,1.71479,15,354,276.01639,0,0,0,12.5,15.1,13.8541,12.3,14.81,13.65049
2021-04-04 22:00:00,KARTAL_AYDOS_DAGI,AUTOMATED_WEATHER_SENSOR,6.1,6.7,6.26949,98,98,98,3.2,8.1,5.90847,15,56,33.40678,-99,-99,-99,-99,-99,-99,2.56,4.4,3.35203
2021-04-02 05:00:00,ARNAVUTKOY_MGM,AUTOMATED_WEATHER_SENSOR,3.6,6.6,5.26333,100,100,100,2.8,5.7,3.95833,208,235,219.11667,0,0,0,-99,-99,-99,1.23,4.29,2.99433
2021-04-03 16:00:00,ARNAVUTKOY_MGM,AUTOMATED_WEATHER_SENSOR,14.9,16.7,15.87167,56,62,58.8,2,4.2,2.995,186,223,202.26667,0,0,0,-99,-99,-99,15.26,17.16,16.0935
2021-04-01 22:00:00,SILE,ICING_SENSOR,4.203,4.339,4.26715,99.8,99.9,99.89811,0,1.49,0.52736,5,5,5,0,0,0,-1.9,-1.9,-1.9,3.81,5.65,4.88
